op_padronizado,dt_ocorrencia,hr_ocorrencia,uf,regiao,latitude,longitude,cat_aeronave,fase_operacao,modelo_aeronave,peso_max_decolagem,numero_assentos,nome_fabricante,les_fatais_trip
AEROMAJ AVIACAO AGRICOLA LTDA,03/01/2020,21:15:00,SP,Sudeste,"-22,3689","-47,7875",S05,Decolagem,EMB-202A,1800,1,NEIVA,0
SAVANA AERO AGRICOLA,11/01/2020,11:30:00,PR,Sul,"-23,3875","-52,875",S05,Táxi,A188B,1905,1,CESSNA AIRCRAFT,0
SAVANA AERO AGRICOLA,11/01/2020,11:30:00,PR,Sul,"-23,3875","-52,875",S05,Táxi,EMB-201A,1800,1,NEIVA,0
AVANTE AVIACAO AGRICOLA LTDA,15/01/2020,09:30:00,RS,Sul,"-28,4775","-53,8922",S05,Manobra,AT-402B,3175,1,AIR TRACTOR,0
ALIANCA AVIACAO AGRICOLA LTDA,17/01/2020,15:30:00,MT,Centro-Oeste,"-16,2722","-53,8958",S05,Manobra,AT-402B,3175,1,AIR TRACTOR,1
COMBATE AVIACAO AGRICOLA LTDA,17/01/2020,21:00:00,GO,Centro-Oeste,"-17,2928","-50,8339",S11,Em rota,EMB-201A,1800,1,NEIVA,0
AERO AGRICOLA NORDESTINA LTDA,24/01/2020,13:30:00,MA,Nordeste,"-7,97361","-46,7683",S05,Pouso,EMB-201A,1800,1,NEIVA,0
AERO AGRICOLA NORDESTINA LTDA,24/01/2020,13:30:00,MA,Nordeste,"-7,97361","-46,7683",S05,Pouso,EMB-201A,1800,1,NEIVA,0
SAGUIA AVIACAO AGRICOLA LTDA - EPP,28/01/2020,10:30:00,GO,Centro-Oeste,"-18,3047","-52,8675",S05,Em rota,EMB-202A,1800,1,NEIVA,0
AEROAGRICOLA DO VALE LTDA,08/02/2020,12:00:00,SP,Sudeste,"-24,4053","-47,785",S05,Manobra,PA-25-235,1315,1,CHINCUL SACAIFI,0
XINGU AEROAGRICOLA LTDA,10/02/2020,21:35:00,GO,Centro-Oeste,"-14,24","-49,8181",S11,Decolagem,EMB-201,1800,1,NEIVA,0
LL AVIACAO AGRICOLA LTDA,12/02/2020,11:20:00,MT,Centro-Oeste,"-13,2325","-52,8756",S05,Decolagem,EMB-202,1800,1,NEIVA,0
FORT AVIACAO AGRICOLA,15/02/2020,13:20:00,GO,Centro-Oeste,"-17,2933","-51,8561",S11,Manobra,EMB-201A,1800,1,NEIVA,0
AEROTEX AVIACAO AGRICOLA LTDA - EPP,17/02/2020,11:20:00,GO,Centro-Oeste,"-18,3081","-49,8331",S11,Decolagem,T188C,1996,1,CESSNA AIRCRAFT,0
AERO AGRICOLA RIO VERDE LTDA,18/02/2020,11:40:00,GO,Centro-Oeste,"-17,2964","-50,8486",S11,Decolagem,T188C,1980,1,CESSNA AIRCRAFT,0
FENNER AVIACAO AGRICOLA LTDA,19/02/2020,16:15:00,MG,Sudeste,"-18,3161","-47,7861",S11,Manobra,EMB-201A,1800,1,NEIVA,1
